00:00:44.615;A;$GPGSV,2,1,07,05,53,292,37,07,54,062,34,09,21,098,30,11,,,23*4F
00:00:44.670;B;$SDDPT,,0.00,100.0*4A
00:00:44.683;A;$GPGSV,2,2,07,13,36,280,40,20,,,45,30,83,141,40*7C
00:00:44.727;B;$SDDBT,,f,,M,,F*28
00:00:44.737;A;$GPGLL,4935.39749,N,01104.05038,E,155540.00,A,A*68
00:00:44.776;B;$YXMTW,27.11,C*27
00:00:45.208;I;$POSMVCC,5073,4873*5E
00:00:45.372;A;$GPRMC,155541.00,A,4935.39671,N,01104.05030,E,1.608,196.80,200824,,,A*69
00:00:45.453;A;$GPVTG,196.80,T,,M,1.608,N,2.978,K,A*30
00:00:45.494;A;$GPGGA,155541.00,4935.39671,N,01104.05030,E,1,05,3.12,297.3,M,47.0,M,,*57
00:00:45.573;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:45.627;A;$GPGSV,2,1,07,05,53,292,39,07,54,062,32,09,21,098,30,11,,,22*46
00:00:45.673;B;$SDDPT,,0.00,100.0*4A
00:00:45.694;A;$GPGSV,2,2,07,13,36,280,30,20,,,46,30,83,141,26*78
00:00:45.730;B;$SDDBT,,f,,M,,F*28
00:00:45.749;A;$GPGLL,4935.39671,N,01104.05030,E,155541.00,A,A*6B
00:00:45.774;B;$YXMTW,27.11,C*27
00:00:46.211;I;$POSMVCC,5073,4873*5E
00:00:46.374;A;$GPRMC,155542.00,A,4935.39618,N,01104.05019,E,1.693,189.17,200824,,,A*6C
00:00:46.453;A;$GPVTG,189.17,T,,M,1.693,N,3.136,K,A*31
00:00:46.496;A;$GPGGA,155542.00,4935.39618,N,01104.05019,E,1,05,3.12,297.2,M,47.0,M,,*51
00:00:46.574;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:46.630;A;$GPGSV,2,1,08,05,53,292,39,07,54,062,28,09,21,098,22,11,,,23*40
00:00:46.676;B;$SDDPT,,0.00,100.0*4A
00:00:46.696;A;$GPGSV,2,2,08,13,36,280,34,17,,,28,20,,,41,30,83,141,27*79
00:00:46.730;B;$SDDBT,,f,,M,,F*28
00:00:46.758;A;$GPGLL,4935.39618,N,01104.05019,E,155542.00,A,A*6C
00:00:46.777;B;$YXMTW,27.11,C*27
00:00:47.212;I;$POSMVCC,5073,4873*5E
00:00:47.374;A;$GPRMC,155543.00,A,4935.39559,N,01104.04978,E,1.751,,200824,,,A*73
00:00:47.447;A;$GPVTG,,T,,M,1.751,N,3.242,K,A*26
00:00:47.484;A;$GPGGA,155543.00,4935.39559,N,01104.04978,E,1,05,3.12,297.3,M,47.0,M,,*58
00:00:47.560;A;$GPGSA,A,3,30,05,07,09,13,,,,,,,,3.82,3.12,2.20*01
00:00:47.614;A;$GPGSV,2,1,07,05,53,292,42,07,54,062,27,09,21,098,21,11,,,21*4D
00:00:47.673;B;$SDDPT,,0.00,100.0*4A
00:00:47.682;A;$GPGSV,2,2,07,13,36,280,30,20,,,42,30,83,141,32*79
00:00:47.726;B;$SDDBT,,f,,M,,F*28
00:00:47.736;A;$GPGLL,4935.39559,N,01104.04978,E,155543.00,A,A*64
00:00:47.773;B;$YXMTW,27.10,C*26
00:00:48.214;I;$POSMVCC,5073,4873*5E
00:00:48.373;A;$GPRMC,155544.00,A,4935.39547,N,01104.04935,E,0.666,,200824,,,A*76
00:00:48.448;A;$GPVTG,,T,,M,0.666,N,1.233,K,A*26
00:00:48.484;A;$GPGGA,155544.00,4935.39547,N,01104.04935,E,1,05,3.12,297.1,M,47.0,M,,*5B
